time,consumption_power
2024-05-13 21:19:42.750,419.000000000
2024-05-13 21:19:45.251,402.000000000
2024-05-13 21:19:47.751,402.000000000
2024-05-13 21:19:50.252,385.000000000
2024-05-13 21:19:52.750,394.000000000
2024-05-13 21:19:55.250,397.000000000
2024-05-13 21:19:57.751,406.000000000
2024-05-13 21:20:00.251,385.000000000
2024-05-13 21:20:02.751,421.000000000
2024-05-13 21:20:05.261,387.000000000
2024-05-13 21:20:07.762,402.000000000
2024-05-13 21:20:10.262,421.000000000
2024-05-13 21:20:12.761,315.000000000
2024-05-13 21:20:15.261,434.000000000
2024-05-13 21:20:17.761,416.000000000
2024-05-13 21:20:20.260,391.000000000
2024-05-13 21:20:22.760,409.000000000
2024-05-13 21:20:25.260,381.000000000
2024-05-13 21:20:27.760,406.000000000
2024-05-13 21:20:30.260,314.000000000
2024-05-13 21:20:32.759,327.000000000
2024-05-13 21:20:35.261,283.000000000
2024-05-13 21:20:37.763,295.000000000
2024-05-13 21:20:40.263,298.000000000
2024-05-13 21:20:42.763,284.000000000
2024-05-13 21:20:45.264,312.000000000
2024-05-13 21:20:47.763,294.000000000
2024-05-13 21:20:50.262,323.000000000
2024-05-13 21:20:52.761,314.000000000
2024-05-13 21:20:55.261,308.000000000
2024-05-13 21:20:57.760,308.000000000
2024-05-13 21:21:00.261,310.000000000
2024-05-13 21:21:02.760,295.000000000
2024-05-13 21:21:05.260,300.000000000
2024-05-13 21:21:07.760,312.000000000
2024-05-13 21:21:10.260,282.000000000
2024-05-13 21:21:12.760,288.000000000
2024-05-13 21:21:15.259,295.000000000
2024-05-13 21:21:17.759,301.000000000
2024-05-13 21:21:20.258,308.000000000
2024-05-13 21:21:22.759,310.000000000
2024-05-13 21:21:25.258,314.000000000
2024-05-13 21:21:27.758,301.000000000
2024-05-13 21:21:30.258,295.000000000
2024-05-13 21:21:32.758,294.000000000
2024-05-13 21:21:35.259,291.000000000
2024-05-13 21:21:37.759,294.000000000
2024-05-13 21:21:40.261,309.000000000
2024-05-13 21:21:42.761,294.000000000
2024-05-13 21:21:45.261,315.000000000
2024-05-13 21:21:47.760,294.000000000
2024-05-13 21:21:50.259,281.000000000
2024-05-13 21:21:52.759,282.000000000
2024-05-13 21:21:55.258,285.000000000
2024-05-13 21:21:57.757,323.000000000
2024-05-13 21:22:00.258,294.000000000
2024-05-13 21:22:02.757,288.000000000
2024-05-13 21:22:05.257,282.000000000
2024-05-13 21:22:07.756,276.000000000
2024-05-13 21:22:10.255,303.000000000
2024-05-13 21:22:12.754,300.000000000
2024-05-13 21:22:15.254,288.000000000
2024-05-13 21:22:17.754,303.000000000
2024-05-13 21:22:20.253,298.000000000
2024-05-13 21:22:22.753,284.000000000
2024-05-13 21:22:25.254,300.000000000
2024-05-13 21:22:27.753,294.000000000
2024-05-13 21:22:30.254,290.000000000
2024-05-13 21:22:32.754,296.000000000
2024-05-13 21:22:35.254,307.000000000
2024-05-13 21:22:37.754,319.000000000
2024-05-13 21:22:40.253,306.000000000
2024-05-13 21:22:42.752,291.000000000
2024-05-13 21:22:45.251,304.000000000
2024-05-13 21:22:47.751,295.000000000
2024-05-13 21:22:50.253,300.000000000
2024-05-13 21:22:52.752,316.000000000
2024-05-13 21:22:55.253,321.000000000
2024-05-13 21:22:57.753,299.000000000
2024-05-13 21:23:00.253,298.000000000
2024-05-13 21:23:02.753,298.000000000
2024-05-13 21:23:05.255,311.000000000
2024-05-13 21:23:07.755,294.000000000
2024-05-13 21:23:10.254,290.000000000
2024-05-13 21:23:12.753,299.000000000
2024-05-13 21:23:15.253,322.000000000
2024-05-13 21:23:17.752,306.000000000
2024-05-13 21:23:20.251,314.000000000
2024-05-13 21:23:22.752,297.000000000
2024-05-13 21:23:25.253,292.000000000
2024-05-13 21:23:27.752,309.000000000
2024-05-13 21:23:30.251,321.000000000
2024-05-13 21:23:32.750,304.000000000
2024-05-13 21:23:35.250,319.000000000
2024-05-13 21:23:37.750,341.000000000
2024-05-13 21:23:40.249,325.000000000
2024-05-13 21:23:42.749,307.000000000
2024-05-13 21:23:45.248,315.000000000
2024-05-13 21:23:47.747,309.000000000
2024-05-13 21:23:50.247,306.000000000
2024-05-13 21:23:52.746,304.000000000
2024-05-13 21:23:55.246,308.000000000
2024-05-13 21:23:57.745,311.000000000
2024-05-13 21:24:00.245,319.000000000
2024-05-13 21:24:02.746,315.000000000
2024-05-13 21:24:05.246,330.000000000
2024-05-13 21:24:07.746,325.000000000
2024-05-13 21:24:10.246,321.000000000
2024-05-13 21:24:12.747,309.000000000
2024-05-13 21:24:15.247,310.000000000
2024-05-13 21:24:17.747,301.000000000
2024-05-13 21:24:20.254,314.000000000
2024-05-13 21:24:22.753,313.000000000
2024-05-13 21:24:25.253,307.000000000
2024-05-13 21:24:27.752,336.000000000
2024-05-13 21:24:30.251,327.000000000
2024-05-13 21:24:32.751,303.000000000
2024-05-13 21:24:35.264,331.000000000
2024-05-13 21:24:37.763,306.000000000
2024-05-13 21:24:40.263,301.000000000
2024-05-13 21:24:42.763,304.000000000
2024-05-13 21:24:45.262,310.000000000
2024-05-13 21:24:47.763,309.000000000
2024-05-13 21:24:50.262,316.000000000
2024-05-13 21:24:52.761,312.000000000
2024-05-13 21:24:55.261,322.000000000
2024-05-13 21:24:57.763,296.000000000
2024-05-13 21:25:00.263,300.000000000
2024-05-13 21:25:02.763,314.000000000
2024-05-13 21:25:05.262,295.000000000
2024-05-13 21:25:07.762,309.000000000
2024-05-13 21:25:10.263,310.000000000
2024-05-13 21:25:12.762,299.000000000
2024-05-13 21:25:15.262,304.000000000
2024-05-13 21:25:17.763,338.000000000
2024-05-13 21:25:20.263,320.000000000
2024-05-13 21:25:22.763,331.000000000
2024-05-13 21:25:25.262,333.000000000
2024-05-13 21:25:27.763,320.000000000
2024-05-13 21:25:30.263,317.000000000
2024-05-13 21:25:32.763,321.000000000
2024-05-13 21:25:35.263,337.000000000
2024-05-13 21:25:37.768,318.000000000
2024-05-13 21:25:40.268,314.000000000
2024-05-13 21:25:42.768,317.000000000
2024-05-13 21:25:45.267,312.000000000
2024-05-13 21:25:47.767,315.000000000
2024-05-13 21:25:50.266,315.000000000
2024-05-13 21:25:52.767,319.000000000
2024-05-13 21:25:55.273,308.000000000
2024-05-13 21:25:57.772,311.000000000
2024-05-13 21:26:00.272,312.000000000
2024-05-13 21:26:02.772,308.000000000
2024-05-13 21:26:05.272,307.000000000
2024-05-13 21:26:07.771,322.000000000
2024-05-13 21:26:10.271,330.000000000
2024-05-13 21:26:12.772,334.000000000
2024-05-13 21:26:15.272,343.000000000
2024-05-13 21:26:17.771,338.000000000
2024-05-13 21:26:20.272,344.000000000
2024-05-13 21:26:22.770,331.000000000
2024-05-13 21:26:25.270,338.000000000
2024-05-13 21:26:27.770,338.000000000
2024-05-13 21:26:30.271,338.000000000
2024-05-13 21:26:32.769,327.000000000
2024-05-13 21:26:35.272,323.000000000
2024-05-13 21:26:37.773,324.000000000
2024-05-13 21:26:40.272,322.000000000
2024-05-13 21:26:42.772,325.000000000
2024-05-13 21:26:45.274,319.000000000
2024-05-13 21:26:47.774,346.000000000
2024-05-13 21:26:50.274,356.000000000
2024-05-13 21:26:52.773,346.000000000
2024-05-13 21:26:55.272,356.000000000
2024-05-13 21:26:57.771,369.000000000
2024-05-13 21:27:00.271,370.000000000
2024-05-13 21:27:02.770,358.000000000
2024-05-13 21:27:05.270,338.000000000
2024-05-13 21:27:07.768,333.000000000
2024-05-13 21:27:10.268,345.000000000
2024-05-13 21:27:12.771,342.000000000
2024-05-13 21:27:15.270,347.000000000
2024-05-13 21:27:17.770,343.000000000
2024-05-13 21:27:20.270,338.000000000
2024-05-13 21:27:22.769,334.000000000
2024-05-13 21:27:25.270,332.000000000
2024-05-13 21:27:27.771,335.000000000
